,Fruit
233,0.005409925847016944
234,0.005504334265113584
235,0.0055346104567937406
236,0.005490020074489211
237,0.005501423640227116
238,0.0056155836108382
239,0.0056892224809925365
240,0.0057781219821375004
241,0.011807003660420997
242,0.0122066171531021
243,0.012579900345610556
244,0.013076430499355246
245,0.01369173984382323
246,0.014187517604117813
247,0.007178424147225606
248,0.007038399580835645
249,0.006747305911167619
250,0.006422949247841831
251,0.006079346906419698
252,0.005820499478652669
253,0.00557514065581637
254,0.005566881077691336
255,0.011469868347765725
256,0.011774224484029257
257,0.012199803194907438
258,0.0124810037106711
259,0.012784074546750183
260,0.013036984639675618
261,0.006607106951700741
262,0.006671399902740678
263,0.0067073134581585895
264,0.00678338932933755
265,0.006821183541495273
266,0.006832681658991436
267,0.13751352748499898
268,0.1486254384104079
269,0.15983975565293865
270,0.17452243188834338
271,0.19377189105857365
272,0.21502059329485
273,0.24986348697234642
274,0.006795842131458937
275,0.006218034036148934
276,0.005693646254516521
277,0.010568219514779938
278,0.009692378686571582
279,0.009053119023880342
280,0.008516793294472212
281,0.008249486315725434
282,0.004084639131317851
283,0.004018154712828097
284,0.004044508027067651
285,0.004025409921324721
286,0.004095000637719243
287,0.004120774538685686
288,0.004097231525222287
289,0.008149471022811196
290,0.007999168726971768
291,0.007960373881847574
292,0.007995416244537137
293,0.007891149657176156
294,0.007905036912881622
295,0.007891093545260292
296,0.008068539567335643
297,0.004058871778776426
298,0.00413818100776826
299,0.004192022349366621
300,0.004188578375970717
301,0.008460279847200278
302,0.008393634218659905
303,0.008370525638594509
304,0.008361856812845285
305,0.00839182525868736
306,0.00835992157128781
307,0.008378502509849787
308,0.008465356744374769
309,0.004233178891927651
310,0.004303556828467641
311,0.0043596606448353965
312,0.0044655186032136135
313,0.004607980010110398
314,0.009368107551275345
315,0.00965033451170124
316,0.00969333817341997
317,0.009622502488454702
318,0.009737082780862974
319,0.009598435909728857
320,0.009716002364282786
321,0.004808550360601601
322,0.004692191437089419
323,0.004627862423983556
324,0.004512982498491505
325,0.004549790328792379
326,0.004492502251446815
327,0.004399561298851419
328,0.008676822157688082
329,0.008636740142425986
330,0.008552254332578278
331,0.008435260700984801
332,0.00825938499254833
333,0.00809109334488604
334,0.003968436697668191
335,0.003859393591069965
336,0.0038273390039079507
337,0.0038045820524567507
338,0.003780769813001232
339,0.003820311968950782
340,0.0038258318727683407
341,0.007707202062207475
342,0.007857823122925177
343,0.007992194866200982
344,0.008256046396995429
345,0.008317492082722876
346,0.12806854923449446
347,0.13583883361523874
348,0.14801546935340737
349,0.1565481839929081
350,0.16642520251976878
351,0.177271093576211
352,0.18850047865761932
353,0.2035056017582972
354,0.22133774886016602
355,0.24695443062657677
356,0.26870423627759865
357,0.30799277885317156
358,0.34665924180290814
359,0.3969560084713124
360,0.4879912336857448
361,0.6188320083758039
362,0.006189653063871719
363,0.005655938514592217
364,0.005164271754503262
365,0.004798526227880485
366,0.004545708876332645
367,0.004303974096222806
368,0.0041597731629530515
369,0.004027689046984477
370,0.0039141210156632645
371,0.0038395791555174714
372,0.003819835651795832
373,0.0077176420119307605
374,0.007838751223190535
375,0.007999239199741824
376,0.008178720720740927
377,0.008347864892392098
378,0.004232934896192374
379,0.004289038251450858
380,0.004332334546029267
381,0.004423230787324417
382,0.004526247705374089
383,0.00455097824520011
384,0.004625543398201982
385,0.004623840973571352
386,0.004609381447715264
387,0.009329551527023243
388,0.009278256658871725
389,0.009109830891300241
390,0.009017534618466336
391,0.008925135331478528
392,0.008826147426740184
393,0.0042583585193484924
394,0.004224607496500476
395,0.0041580604213286914
396,0.004070738054524678
397,0.004004743484827385
398,0.003937692797633388
399,0.003939597026825857
400,0.003967914848601908
401,0.008002155298124543
402,0.008090221670288033
403,0.008196271990849926
404,0.00823614947118024
405,0.008296474618779673
406,0.008395196969627013
407,0.004234185671737723
408,0.0042867279710898775
409,0.004387150568767956
410,0.0045127643133379474
411,0.004683689145014183
412,0.0048450632601363865
413,0.005135587832158513
414,0.005258187921578548
415,0.010698442454050093
416,0.01108516139960005
417,0.011135686246966306
418,0.011098569664542242
419,0.01084835673445732
420,0.010393343472809536
421,0.004999514989953126
422,0.004825656835343224
423,0.004706155739821721
424,0.004698214914052632
425,0.0046456082460715024
426,0.004578197633451251
427,0.004568263602946524
428,0.004496021103510791
429,0.009058969578205948
430,0.00895233108567371
431,0.008931652184374524
432,0.008917131000944633
433,0.008944474169103203
434,0.008919496141932364
435,0.004532473497898897
436,0.004560916303730611
437,0.004711132679248028
438,0.004881290249621254
439,0.00513052009554227
440,0.005367761291782599
441,0.005586935334501723
442,0.006116030701377954
443,0.0066907245210528965
444,0.007287217987469538
445,0.00802080759928274
446,0.008886758847349057
447,0.00662847458688137
448,0.006143644548355385
449,0.005700873982862619
450,0.005288544540440817
451,0.004960873077722479
452,0.004635476657540867
453,0.004398106341871499
454,0.0042878487444271
455,0.004206115432773962
456,0.004133088165412333
457,0.004093069054226279
458,0.004036477388022038
459,0.0040330545131185575
460,0.003981992789445731
461,0.00801048909823347
462,0.007979328894334514
463,0.00787702222197216
464,0.00781265777981039
465,0.003865809494287628
466,0.0037748896488101007
467,0.003728532111403307
468,0.0037105150341858986
469,0.0037347294312862025
470,0.0037739368296853737
471,0.0038412877104136646
472,0.00399186337725695
473,0.004149111008157674
474,0.0042781584666312196
475,0.00861739899638318
476,0.008752997067105247
477,0.008728915380166399
478,0.008702091321154593
479,0.00872829367803141
480,0.00868904337950211
481,0.004384396571386323
482,0.004528765949753083
483,0.004688730909366371
484,0.004919061015114742
485,0.0051166477016851685
486,0.005369674621465313
487,0.005522995738950088
488,0.005675140863261086
489,0.011429624669441429
490,0.011582786334937267
491,0.011497166288109355
492,0.011346400523480002
493,0.011062079488649658
494,0.010755661847639179
495,0.005373340592912028
496,0.005350424774506388
497,0.0054704146211635475
498,0.005684006474322168
499,0.005809442257630248
500,0.006082008660737138
501,0.006084372503713941
502,0.006016917588527041
503,0.011884464430141232
504,0.011753994024426723
505,0.011643041298533729
506,0.011711124429207256
507,0.011893755558724054
508,0.01214506202882177
509,0.006245168771420172
510,0.006348042348133848
511,0.006526768945505546
512,0.006580756204833492
513,0.006650826671794591
514,0.006633110062344459
515,0.006484104149096261
516,0.006211819297046024
517,0.011703761868060244
518,0.011019812763650298
519,0.01063440690171494
520,0.010036473377481982
521,0.009847497111514524
522,0.009640735298472617
523,0.0047454428349989995
524,0.004708902632973183
525,0.0046690237284336255
526,0.004618933449932872
527,0.004639363215026494
528,0.004533880829994119
529,0.004547306624303653
530,0.044874560609941404
531,0.04588765203125884
532,0.009845400354471226
533,0.01045595607312913
534,0.011525219515014007
535,0.012621710935529752
536,0.014215383897730912
537,0.008485051364204372
538,0.006938538429160872
539,0.006497395612880215
540,0.006002738267694028
541,0.0056295675898482235
542,0.005309599619998728
543,0.0049980138827822
544,0.004789574856912011
545,0.004679129471100289
546,0.004586299849289321
547,0.004547950594077209
548,0.009020629495345527
549,0.00880997325998577
550,0.00886542520218699
551,0.008792484144459075
552,0.004478062087939223
553,0.004548377246831017
554,0.004621515282942077
555,0.004710150665607484
556,0.0046873072105487615
557,0.004681298487339073
558,0.004555065014967719
559,0.0044663932608441535
560,0.004436735476606032
561,0.004406520019409965
562,0.008889365028927431
563,0.008976981229263157
564,0.008943813374317289
565,0.008869798736266199
566,0.008861492314395945
567,0.008802305945615803
568,0.004402029757560788
569,0.004520761202970387
570,0.004516288442177009
571,0.00461252555275109
572,0.004516662195865983
573,0.004508757132232914
574,0.00451521041749561
575,0.004562118373241268
576,0.009321179780760643
577,0.009452714433393357
578,0.009686978063847074
579,0.00964173112586682
580,0.009362623304641231
581,0.008943729280166597
582,0.004271134969795372
583,0.0041619988892072765
584,0.004083428388893791
585,0.004064823552458976
586,0.004011955134581886
587,0.003949205203559317
588,0.003908365009404967
589,0.003862595143911733
590,0.007665249594982314
591,0.00760785708874846
